Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-74.11641967199995 40.637068886000066),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Staten Island,Wayne “Chops” Derrick Way,,At the southwest corner underneath the Henderson Avenue sign at the intersection of Henerdson Avenue and Campbell Avenue,10310,Rose,"Wayne Derrick was a community activist and a mentor to North Shore youths for more than 30 years.  He worked as a boiler mechanic and certified stationary fireman at PS 18 in West Brighton, the school he had attended, for 34 years until he retired in 199",
POINT (-73.73792078099996 40.717759896000075),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Queens,PO Paul Heidelberger Way,,At the intersection of 217th Street and Jamaica Avenue,11428,Lee,"Paul Heidelberger served with the New York City Housing Authority Police Department (now NYPD) for six years. He was off duty when he was shot and killed while attempting to break up a fight at a bar in Bayside, Queens.",
POINT (-74.08175659299997 40.62078663200003),Int. No. 342-A,02/18/2003,2003,2003/014,Intersection,Staten Island,Cheryl White Place,,The southeast corner of the intersection of Hill Street and Warren Street,10304,McMahon,"Cheryl White Quaye, 46, a Stapleton resident and coordinator of the Fresh Air Fund, died on June 20, 1997.  Born in Waco, Texas, she moved to Inwood in 1959, and settled in Stapleton in 1978.  Ms.  Quaye coordinated the registration of Staten Island chil",
POINT (-74.09341771799996 40.58524545500006),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Staten Island,Mario R. Ariemma Way,,At the intersection of Buel Avenue and Hylan Boulevard,10305,Matteo,Mario R. Ariemma started working on produce trucks while he was in high school and eventually acquired his own truck delivering produce and eggs to customers.  He later purchased an apple farm in Dongan Hills in 1956 and started a successful deli busines,
POINT (-73.96946940299995 40.79039331600006),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Manhattan,Beulah E. Sanders Way,,At the northwest corner of Columbus Avenue and West 92nd Street,10025,Rosenthal,"Beulah Sanders was a relentless advocate for welfare recipients’ rights. Born in North Carolina, she moved to New York City at age 22 in 1957. She was a founding member of the National Welfare Rights Organization (NWRO) and was elected as its chair mul",
POINT (-74.14019468899994 40.60980317600007),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Staten Island,Angela Padavano Way,,Underneath the Martin Avenue street sign at the southwest corner of Purdy Avenue,10314,McMahon,"Angela Padavano was a prominent Staten Island fund-raiser helped garner hundreds of thousands of dollars for charity during four decades of philanthropy.  In an interview she gave before being named Woman of Achievement in 2001, she said, “I run wherev",
POINT (-73.94450097099997 40.71523100600007),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Brooklyn,Cono D’ Alto Way,,At the southwest corner of Graham Avenue and Conselyea Street,11211,Reynoso,"Cono D’Alto was born in the town of San Marco Italy. He immigrated to the United States with his mother when he was nine years old. He was drafted into the United States Army during the Vietnam War, and served as a paratrooper. After his honorable disc",
POINT (-73.89755300899998 40.707754013000056),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Maureen Walthers Way,,At the intersection of Woodbine Street and Fresh Pond Road,11385,Holden,Maureen Walthers was the owner and publisher of the Ridgewood Times and Times Newsweek. She was a housewife in the 1970’s and wrote a letter to the editor of the Ridgewood Times over the rampant use of drugs at a playground a block away. The letter imp,
POINT (-73.92399226699996 40.774597526000036),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Karina Lariño Way,,At the intersection of 21st Street and Astoria Park South,11102,Cabán,Karina Lariño worked for the Metropolitan Transportation Authority at the LaGuardia Bus Depot. She was very involved with the community and the Ali Forney Shelter in particular. She collected winter clothes and distributed them to various shelters durin,
POINT (-73.89307926799995 40.676148031000025),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Delrawn Small Way,,At the intersection of Bradford Street and Atlantic Avenue,11207,Nurse,"Delrawn Small was killed by NYPD Officer Wayne Isaacs who was off duty at the time. Delrawn Small was cut off by Officer Isaacs in his car. When Mr. Small went to confront Officer Isaacs about the situation, Officer Isaacs shot Mr. Small. Officer Isaacs",
POINT (-73.94296129899993 40.705883318000076),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Brooklyn,Pedro Albizu Campos Way,,At the intersection of Graham Avenue and Boerum Street,11206,Gutiérrez,"Pedro Albizu Campos grew up in San Juan Puerto Rico, without financial support or legal recognition from his father. Despite this, in 1912, he was awarded a scholarship to study Chemistry and Engineering at the University of Vermont. He then transferred",
POINT (-73.76115044299996 40.72130469900003),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Melvin “Mel” Doby Memorial Way,,At the northeast corner of Foothill Avenue and 204th Street,11427,Grodenchik,"Melvin Dolby served with the NYPD beginning in 1973. He was assigned to the 76th Precinct in Brooklyn where he served for two years. In 1976, he transferred to the 73rd Precinct in Brooklyn before he was transferred to the Elite Highway/Motorcycle Unit.",
POINT (-73.90797070899998 40.67009643700004),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Brooklyn,Zurana Horton Way,,At the intersection of Watkins Street and Pitkin Avenue,11212,Mealy,"Zurana Horton was a lifelong Brooklyn resident who received her education through the New York Public School System. She was picking up her child when she was shot to death across the street from a school in Brownsville, Brooklyn. During the incident, sh",
POINT (-74.07692489899995 40.63771538000003),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Staten Island,Eric Garner Way,,At the southwest corner of Bay Street and Victory Boulevard,10301,Rose,"Eric Garner died as a result of an NYPD officer who put him in a chokehold, a maneuver against NYPD rules, for illegally selling cigarettes. The incident sparked outrage across the country when video of the incident was released with Eric Garner pinned t",
POINT (-74.11198216599996 40.644063593000055),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Staten Island,Thomas “Citos” Rigney Way,,At the intersection of Richmond Terrace and Pelton Avenue,10310,Hanks,"Thomas “Citos” Rigney was an accomplished student and athlete who spent many hours coaching and helping the young people in the neighborhood. Unfortunately, he became ill from substance use disorder. He fought his illness valiantly and became an insp",
POINT (-74.00480163899994 40.734608208000054),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Manhattan,Police Officer Brian Murray Way,,At the southwest corner of Bleeker Street and Charles Street,10014,Johnson,Officer Brian Murray was a member of the New York City Police Department for six years before he was killed in the line of duty when a terrorist bomb he was trying to deactivate exploded.  Terrorists attempting to win Croatian independence planted a bomb,
POINT (-74.00294643899997 40.60229964000007),Int. No. 613,05/09/2005,2005,2005/043,Intersection,Brooklyn,P.O. David A. Regan Way,,NE corner of Bay 22nd Street and Bath Avenue,11214,Gentile,"David A. Regan grew up in Garden City Park on Long Island.  He was an avid sportsman.  David was a paramedic and volunteer firefighter for the Garden City Fire Department, where he requested to wear the same shield number of his late grandfather, who had",
POINT (-73.86189445699995 40.75776620000005),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Ortner Vernon Murray,,At the intersection of Northern Boulevard and 107th Street,11368,Moya,"Ortner Vernon Murray, more affectionately known as ""Von"" was born in Manzanilla,Trinidad. After marrying Jocelyn Verspry the young couple started a life together leaving Trinidad for the United States to pursue the ""American Dream"" like so many others. O",
POINT (-73.90929510599995 40.76682254200006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Pfc. Luke N. Gasparre Way,,At the intersection of 43rd Street and 25th Avenue,11103,Constantinides,"Luke N. Gasparre entered military service in 1944 and was deployed to France, where he served in the 87th Infantry Division. During that time he participated in securing the city of Metz, and fought in the Battle of the Bulge. For his service, he receive",
POINT (-74.00053382599998 40.714478480000025),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Manhattan,Five Points,,On the south side of Baxter Street and Worth Street,10013,Chin,"This co-naming would recognize the lives of tens of thousands of 19th century Irish, Italian, Chinese and Jewish immigrants, as well as the free African-Americans who lived together in this notorious slum where they faced considerable poverty and adversi",
POINT (-73.87547273799998 40.76321277200003),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Vera E. Thompson Way,,At the southeast corner of 94th Street and Astoria Boulevard,11369,Moya,"Vera E. Thompson was a dedicated Funeral Director in East Elmhurst who opened the Vera E. Thompson Funeral Home On January 26, 1955 and continued to serve the community for over 50 years while providing comfort to hundreds of family’s during their time",
POINT (-73.79635232799995 40.69864880800003),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,369th Infantry Regiment “Harlem Hellfighters” Lane,,At the north corner of Tuskegee Airmen Way and 159th Street,11435,Wills,"The 369th Infantry Regiment, also known as the Harlem Hellfighters, was an infantry regiment formed in New York consisting of African-Americans and African Puerto Ricans.  The regiment was the first African-American regiment to serve with the American Ex",
POINT (-73.99006139199997 40.63022683300005),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Brooklyn,Thomas Joseph Sgroi Way   None,,At the northeast corner of 15th Avenue and 53rd Street,11219,Felder,"Thomas Sgroi was killed on 9/11/01.  At the time of his death, he was employed by Marsh and McLennan as Vice President for Technology and Information Services. He was born and raised in the Borough Park area.  Mr. Sgroi was an active congregant at St. Fr",
POINT (-73.97625698399997 40.67311378200003),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Brooklyn,Jackie Connor’s Corner,,Northwest corner of 7th Avenue and Carroll Street,11215,Yassky,"Jackie Connor was an advocate for the poor, the homeless, the underpaid, the tenant, the senior citizen, the child, and the teenager. She was the one you called for to help you spread the news about an injustice or something that needed fixing or taken c",
POINT (-73.78805216099994 40.59451423300004),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Lamine Sarr Way,,At the intersection of Beach 58th Street and Beach Channel Drive,11692,Richards,"Lamine Sarr was a young activist who grew up, advocated, and engaged the community on the Rockaway peninsula. He began his community involvement in 2012, after the Rockaway peninsula was rocked by Superstorm Sandy when he began volunteering with the Acti",
POINT (-74.12788066699994 40.63121313200003),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Staten Island,Alzheimer’s Foundation Way,,Post Avenue at the northeast corner of Driprock Street,10310,McMahon,The Alzheimer’s Foundation of Staten Island has been relocated to 789 Post Avenue where the Foundation can benefit from a greater public presence. The number of patients with Alzheimer’s disease is expected to triple by the year 2020. The Foundation,
POINT (-74.14334377699998 40.63859648300007),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Staten Island,Vaughn’s Way,,At the intersection of Richmond Terrace and Newark Avenue,10302,Hanks,"Vaughn Robert Bellocchio was a beacon of hard work, generosity, and respect, leaving an indelible mark on everyone he met. He attended Madison High School in Brooklyn and later joined the United States Marine Corps. After his service in the Marine Corps,",
POINT (-73.83099600399999 40.87025471000004),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Bronx,Christian Regenhard Way,,At the intersection of Aldrich Street and Asch Loop,10475,Seabrook,"Christian Regenhard was a Probationary Firefighter at Ladder 131 in Red Hook, Brooklyn.  He was one of 17 Probationary Firefighter lost in the 9-11 terrorist attacks and was a member of the FDNY for only six months.  The Christian Michael Otto Regenhard",
POINT (-74.07703503699997 40.64313201300007),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Staten Island,Honorable Mario J. Esposito Way,,the intersection of Schuyler Street and Stuyvesant Street,10301,McMahon,"Mario J. Esposito lived in Todt Hill, on Staten Island, and served as County Clerk of Richmond County from 1982 until his death. During his tenure, he greatly modernized the Office of County Clerk where all documents related to real property, including d",
POINT (-73.86907071499996 40.739928758000076),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Queens,Florry Burrell Way,,Southeast corner of 52nd Avenue at 94th Street,11373,Sears,"Florry Burrell moved to Elmhurst in 1952. She soon became a well-known and beloved figure of the community. She volunteered for the Red Cross and became a Girl Scout troop leader. Among her many other accomplishments, Florry was a school aide at PS 13 fo",
POINT (-73.93032692099996 40.68928386400006),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Brooklyn,"Rev. Dr. Robert E. Cornegy, Sr. Way",,At the intersection of Quincy Street and Malcolm X Boulevard,11221,"Cornegy, Jr.","Rev. Dr. Robert E. Cornegy, Sr. served as pastor of Mount Calvary Baptist Church in Bedford-Stuyvesant.",
POINT (-74.08912871499996 40.58414052900008),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,Vincent S. Chiara Way,,the intersection of Liberty Avenue and Mason Avenue,10305,Oddo,"Vincent S. Chiara was born in Brooklyn on November 9, 1980 and lived his entire life on Staten Island. Vincent was the son of Salvatore and Catherine Chiara. On May 7, 2002, at the age of twenty-two, Vincent was tragically killed by a speeding vehicle on",
POINT (-73.87294399299998 40.76089901000006),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Marguerite Henderson Way,,At the intersection of 96th Street and 30th Avenue,11369,Moya,"Marguerite Henderson was very dedicated to her family, seniors and the East Elmhurst community. She attended P.S. 127 in East Elmhurst and went to I.S. 145, Newtown High School, and graduated from LaGuardia Community College. She was a member of Mt. Oliv",
POINT (-74.09601853899994 40.63167210800003),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,World War II Veterans Pathway,,the southwest corner of the intersection of Forest Avenue and Silver Lake Park Road,10301,McMahon,This street is to recognize an honor Staten Island’s “Greatest Generation.”,
POINT (-74.03163630199998 40.62204791100004),Int. No. 761-A,03/07/2012,2012,2012/014,Intersection,Brooklyn,Frank Griffin Way,,At the intersection of 88th Street and Third Avenue,11209,Gentile,"Frank Griffin began publishing The Home Reporter, a local Bay Ridge newspaper featuring news of high school sports, engagements and weddings, social and garden club news, births, communions, anniversaries and deaths, in 1956.  The Home Reporter competed",
POINT (-73.94989447399996 40.67528135500004),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Brooklyn,Damon S. Allen Place,,At the northeast corner of St. Marks Avenue and Nostrand Avenue,11216,Vann,"Damon S. Allen was a young New York City Department of Sanitation employee and local hero who saved a child who had to jump from a fire fatal to others.  He was senselessly murdered in September 2006, following the West Indian American Carnival Associati",
POINT (-73.93955845999994 40.841703607000056),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Manhattan,Coogan’s Way,,At the northwest corner of 169th Street and Broadway,10032,Rodriguez,"Coogan’s was a beloved institution since 1985, located on Broadway and 169th Street by New York-Presbyterian Hospital. The bar closed due to the COVID-19 pandemic. The joint was known as a community favorite, a place that transcended lines of race and",
POINT (-74.02089698899994 40.619263999000054),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Brooklyn,Hank Vogt Way,,At the intersection of 85th Street and 7th Avenue,11228,Gentile,Hank Vogt was the founder and first board chair of the Bay Ridge Ambulance Volunteer Organization (BRAVO) started in 1974.  He was also very involved in his community serving as Parade Chairman of the Ragamuffin Parade for many years as well as chairman,
POINT (-74.00067003199996 40.60886302100005),Int. No. 1033,07/17/2009,2009,2009/046,Intersection,Brooklyn,Robert M. Buonvino Place,,At the intersection of 83rd Street and 18th Avenue,11214,Gentile,"Robert M. Buonvino was a life-long resident of Brooklyn who served on Community Board 10 and founded the preservation group Friends of Historic New Utrecht, which is dedicated to the preservation of the New Utrecht cemetery.  He was a longtime civic lead",
POINT (-73.83231276799995 40.88197892300008),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Bronx,Mary Jean Jefferson Lane,,At the intersection of Bivona Street and Reeds Mill Lane,10475,Riley,"Mary Jean Jefferson was an active member of her community and worked for the New York City Housing Authority for nearly 20 years. She also worked in the office of the Bronx Borough President, the New York City Board of Education and the Bronx Board of El",
POINT (-74.06098302199996 40.60710101900003),Int. No. 1613,06/24/2017,2017,2017/110,Intersection,Staten Island,U.S. Coast Guard Way,,At the intersection of School Road and Bay Street,10305,Matteo,"This co-naming will commemorate the United States Coast Guard.  Many members of the US Coast Guards’ New York Sector, including the Captain of the Port, have residences on Staten Island.",
POINT (-73.81670469199997 40.84602015200005),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Lorraine Nugent Way,,At the intersection of Bayshore Avenue and Ampere Avenue,10465,Gjonaj,"Lorraine Nugent was a dedicated community leader who devoted her time and leadership to many senior organizations in her community. Since 1990, she ran the local AARP group of seniors hosting monthly meetings. She was the first woman to be given the titl",
POINT (-74.14658823699995 40.545666331000064),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Staten Island,Sharon Nearby Way,,At the northwest corner of Cleveland Avenue and Durant Avenue,10308,Borelli,"Sharon Nearby taught at I.S. 24, Great Kills, for 27 years and was a beloved teacher who taught hundreds of students and even the children of former students due to her long career.",
POINT (-73.95140070199994 40.77006387900008),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Manhattan,Patrolman John Patrick Flood Way,,At the intersection of East 77th Street and York Avenue,10075,Menin,"Patrol Officer John Flood, known in the Police Department as “The Parish Priest” because of his earnest propaganda against profanity, was almost at the end of his tour on July 3, 1917. He was approached by a woman who told him there was a man in her",
POINT (-73.93520502099994 40.651509012000076),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Brooklyn,Elenora P. Bernard Way,,At the intersection of East 45th Street and Church Avenue,11203,Louis,"Elenora P. Bernard born in Trinidad and Tobago in the Caribbean, has resided in the United States for the past fifty years. A lifelong resident of Brooklyn, she was committed to the inclusion, growth of her black and Caribbean community, especially woman",
POINT (-73.91582505499997 40.869715057000064),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Manhattan,Rita Venedam Place,,At the northwest corner West 215th Street and Broadway,10034,Jackson,"Ms. Venedam was a long time resident of Inwood and a long time volunteer for veterans’ causes.  Ms. Venedam  logged more than 50,000 volunteer hours at the Bronx and Manhattan VA hospitals.",
POINT (-73.94044597399994 40.74364800500007),Int. No. 428-A,12/20/2010,2010,2011/003,Intersection,Queens,Chuck Costello 9/11 Memorial Way,,At the southwest corner of 27th Street and 47th Street,11101,Van Bramer,Charles Costello was a sixteen-year member of Local One who was killed in the 9/11 attacks when he rushed to the site to help and rescue anyone he could.,
POINT (-73.88839069699998 40.66133464100005),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Brooklyn,Bishop Willie B. McNeil Corner,,Corner of Bradford Avenue and Hegeman Street,11207,Barron,"Bishop Willie B. McNeil brought to his ministry an overwhelming spirit of charity and compassion acting from vision and enlightenment in conducting his administrative and spiritual duties, while always displaying the highest standards of personal and pro",
POINT (-74.14698226999997 40.57199199400003),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Staten Island,Dr. Meryl Efron Way,,At the intersection of Richmond Road and Arthur Kill Road,10309,Matteo,"Meryl Efron was a dentist and lifelong resident of Staten Island.  She was very involved in fundraising and community service which benefited her community.  She enrolled in dental school, earning a degree in 1983 from the New York University College of",
POINT (-74.17055955799998 40.604905332000044),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Staten Island,SPC Marcus Brown Way,,At the intersection of Dinsmore Street and Victory Boulevard,10314,Matteo,Marcus Brown served in the United States Army for 11 years and was a decorated Iraq Combat Veteran receiving the Bronze Star with valor in 2008 for his service.  He was able to establish a perimeter around his vehicle preventing another attack after it w,
POINT (-73.85207481399993 40.90920301300008),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Bronx,Sgt. John McCormick Street,,At the intersection of Baldwin Street and Bradley Street,10550,Cohen,"John McCormick was killed in the line of duty on April 27, 1988 when he and four officers executed a search warrant for several pounds of cocaine in a suspect’s fourth floor apartment.  As the raid commenced, the officers broke through the front door",
POINT (-73.77719980299997 40.66924560100006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Benjamin Wright Way,,At the intersection of 158th Street and 140th Avenue,11434,Richards,"Benjamin Wright Jr. moved to New York City in 1950. He was employed by the City of New York for twenty-seven years, retiring as Assistant Deputy Commissioner of the Department of Homeless Services (DHS) in 1996. After retirement, he founded Green World U",
POINT (-73.98477932999998 40.73638181500007),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Manhattan,Mother Cabrini Way,,At the northeast corner of East 19th Street and 3rd Avenue,10011,Mendez,"This co-naming will commemorate the 100th Anniversary of Mother Francis Xavier Cabrini’s death, who established hospitals, schools, orphanages and immigrant services throughout the United States and became the first woman to be given the title of ‘Mi",
POINT (-74.07442544399998 40.628838022000025),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Staten Island,Eric E. Garvin Way,,At the intersection of Front Street and Navy Pier Court,10304,Hanks,Eric E. Garvin was a social justice attorney who worked for the Mayor’s Office of New York City from 2016 to 2021. He was an advocate who worked to reduce gun violence. He was shot and killed while traveling in Chile.,
POINT (-73.93780511599994 40.83500927100005),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Pamela North Way,,At the north side corner of West 162nd Street and Edgecombe Avenue,10032,Rodriguez,"Pamela North was an advocate and innovator in the fields of organization training and development, forging successful partnerships and consulting relationships with numerous U.S. and international entities.  In the summer of 2006, she was commissioned by",
POINT (-73.88096596799994 40.656992616000025),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Melvin A. Faulkner Way,,At the intersection of Schenck Avenue and Cozine Avenue,11207,Barron,Melvin A. Faulkner was a veteran of the United States Air Force and later served as the Community Liaison in the 60th Assembly District for Hon. Charles Barron. He also served as Senior Programming and Services Liaison in the New York State Assembly unde,
POINT (-73.92448691399994 40.86143492600007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Manhattan,Isaiah Ché Moronta Way,,At the corner of Dyckman Street and Nagle Avenue,10040,Rodriguez,Isaiah Ché Moronta was born in Washington Heights. He was raised in the Inwood section of Manhattan where he attended PS/MS.278 for both elementary school and middle school. While attending PS/MS.278 he was a member of the chess team and participated in,
POINT (-73.97660122899998 40.57531372500006),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Firefighter Faizal Coto Way,,At the northwest corner of Surf Avenue and West 8th Street,11224,Deutsch,Faizal Coto was a dedicated member of the FDNY whose commitment to the Coney Island community was unparalleled. He was killed while off-duty in a road-rage incident on the Belt Parkway.,
POINT (-73.95424154299997 40.730185418000076),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Brooklyn,Charno Way,,At the intersection of Manhattan Ave and Greenpoint Avenue,11222,Yassky,"Honoring Joseph, Edmund and Larry Charno for establishing Joe’s Department Store and the Harrico Pharmacy serving the Greenpoint community for over 30 years.",
POINT (-74.19979630699999 40.53726767300003),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Michael J. Supino Avenue,,NE corner of Lamont Avenue and Marcy Avenue,10309,Lanza,"Michael J. Supino was a tireless volunteer for the American Diabetes Association and other community causes.  Whether it was manning the phones during pledge drives, helping at walk-a-thons or assisting at charity events, Michael could always be counted",
POINT (-73.91312096899998 40.82969901200005),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Bronx,"Venancio “Benny” Catala, Jr. Way",,At the intersection of Teller Avenue and 166th Street,10456,Stevens,"Venancio “Benny” Catala, Jr. worked at the Summer Youth Employment Program when he was 16 years old and later was employed as a Constituent Service Representative in the Bronx where he provided assistance to constituents with education, housing and s",
POINT (-73.95627318599998 40.81335879000005),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Manhattan,Reverend Dr. Alfloyd Alston Way,,At the corner of West 125th Street and Amsterdam Avenue,10027,Jackson,"Reverend Dr. Alfloyd Alston founded the Antioch Baptist Church.  Reverend Alston, in 1996, established a business that sold prepared food, B.B.Q. King in Harlem, which works toward community development and job creation for local residents.  Through his",
POINT (-73.98285411899997 40.70136252800006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Brooklyn,Melquain Jatelle Anderson Drive,,At the intersection of Gold Street and York Street,11201,Cumbo,Melquain Jatelle Anderson was killed while waiting at a bus stop outside of the Farragut Houses. His family later started a scholarship and emergency fund in his name at John Jay College where he earned his bachelor degree.,
POINT (-74.11413049099997 40.57535647800006),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Staten Island,SSG Michael H. Ollis Way,,At the intersection of Burbank Avenue and South Railroad Avenue,10306,Oddo,"Michael H. Ollis enlisted in the United States Army and served in the 10th Mountain Division’s 2nd Battalion, 22nd Infantry Regiment, 1st Brigade Combat Team based at Fort Drum in Northern, New York in 2006.  He served in Iraq and Afghanistan before be",
POINT (-73.90736126099995 40.85383623000007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Reverend Luciano Soto Way,,At the southwest corner of Jerome Avenue and Burnside Avenue,10453,Cabrera,"Rev. Luciano Soto was born in Patillas, Puerto Rico. His parents died when he was a boy and he and his orphan siblings went to live with different families to continue their upbringing. Reverend Soto was taken to a sister's home where he spent his childh",
POINT (-73.94298189099999 40.83155333500008),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Manhattan,Rev. Dr. Jasper Simmons Place,,At the intersection of 155th Street and Amsterdam Avenue,10032,Levine,"Rev. Dr. Jasper Simmons was the longest serving Pastor in the tri-state area.  He was ordained in May 1953 and began his ministry by founding File Chapel Baptist Church on East 124th Street.  As it grew, the church moved to West 155th Street.  He opened",
POINT (-73.82968599599997 40.709348000000034),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Queens,Aaron Adler Way,,At the northwest corner of Lefferts Boulevard and Austin Street,11415,Koslowitz,Aaron Adler was a United States Army Veteran of the Korean War.  He graduated from Baruch College with a Bachelor’s degree and studied Industrial Psychology and worked for 38 years for the International Ladies Garment Workers Union as Benefits Counselo,
POINT (-74.11386735999997 40.580167551000045),Int. No. 565,10/20/2003,2003,2003/062,Intersection,Staten Island,P.O. Thomas Schimenti Jr. Corner,,the intersection of Richmond Road and Todt Hill Road,10306,Oddo,"Thomas Schimenti, Jr. was born on October 19, 1943 to Thomas Sr. and Angelina Schimenti. He grew up on Staten Island where he attended Saint Sylvester Grammar School and New Dorp High School. Tom also attended McKee Evening classes and became a journeyma",
POINT (-73.89677005499993 40.83035311100008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Hetty Fox Lane,,At the southwest corner of Lyman Place and Freedman Street,10459,Gibson,"Hetty Agnes Fox was born in Harlem, New York. She moved to the Bronx in 1940 and attended St. Anthony of Padua Elementary and Cathedral High School.  She went on to study at Hunter College where she learned Russian, majored in psychology, perfected her",
POINT (-73.89670274899999 40.881202331000054),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Bronx,Howard E. Padernacht Place,,At the southwest corner of Giles Place and Sedgwick Avenue,10463,Koppell,Howard Padernacht was a local community leader for over 30 years who dealt with local landlords and negotiated on behalf of tenants when they were having difficulty with owners.  He also lead the tenants of the Shalom Alechem houses in receipt of the fir,
POINT (-73.88794600699998 40.83344601600004),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Bronx,Mother Arnetta Crawford Way,,At the intersection of 172nd Street and Vyse Avenue,10460,"Salamanca, Jr.","Mother Arnetta Crawford was born in Evergreen, Alabama and was educated in the Conecuh County school system. She relocated to New York City to continue her education and pursue her dreams. In the Bronx, she met and married the late Reverend Dr. Fletcher",
POINT (-73.91395496899997 40.82039099200006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Reverend Dr. Henry Bolden Boulevard,,At the intersection of Elton Avenue and East 156th Street,10451,Salamanca,"Reverend Dr. Henry Bolden was born in Bluston, South Carolina. He eventually left South Carolina to pursue God’s calling at Grace Baptist Church in Detroit, Michigan, under the pastorate of Rev. F.R. Robinson. Three years later, due to the sudden trans",
POINT (-73.95778747899993 40.70848094200005),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Manhattan,Calle Frenchie,,At the northeast corner of Marcy Avenue and Broadway,11211,Reynoso,"Santos “Frenchie” Ramos grew up in Puerto Rico and later came to New York in his 20’s. When he was 36 years-old, he opened Frenchie’s Gym in Williamsburg and remained open for 43 years, helping kids stay off the streets and away from drugs and ga",
